Category,Expense
Entertainment,Sport tickets
Food,Curd
Housing,Rent
Food,Pizza
Travel,Gasoline
Entertainment,Pottery painting or ceramics studio fees
Entertainment,Art or craft fairs
Travel,International SIM card
Entertainment,Salsa or tango dance nights
Housing,Gunny bag
Entertainment,Circus or acrobatics performances
Savings,Travel Savings
Housing,LPG bill
Savings,Diamond ring
Food,Peppers
Housing,Trash Collection
Entertainment,Speakers
Personal and Health Care,Spa or wellness gift certificates
Miscellaneous,Mobile charger
Food,Baby formula or baby food purchases
Savings,Peer-to-peer lending investments
Housing,Wrenches
Travel,Suite cost
Personal and Health Care,Glasses/Contact Lenses
Housing,Hammer
Food,Takeout or food delivery services
Savings,Emergency Fund
Entertainment,Ghost tours or haunted house visits
Housing,Property management software or apps
Food,Canned or packaged goods
Food,Bisi bele bath
Travel,Hot air balloon ride over scenic landscapes
Travel,Kit bag
Personal and Health Care,Chiropractic or alternative medicine treatments
Savings,High-yield savings account fees
Food,Fresh seafood purchases
Housing,Microwaves
Travel,Guided hiking or trekking expedition
Food,Groceries
Savings,Cryptocurrency
Housing,Storage unit rental fees
Housing,Sprinkler system repairs or installations
Personal and Health Care,Medicines
Entertainment,Wine and cheese tastings
Housing,Mortgage Payment
Housing,Security deposit
Housing,Trash Collection
Food,Rice
Savings,Royalties or passive income investments
Personal and Health Care,Doctor's Visit
Travel,Luxury train ride through scenic countryside
Housing,Landscaping and yard maintenance
Personal and Health Care,Manicures and pedicures
Savings,Venture capital investments
Personal and Health Care,Physiotherapy
Entertainment,Wine or cocktail mixology classes
Savings,Down Payment Savings
Food,Salad bar or deli counter purchases
Personal and Health Care,Face wash
Housing,Pet deposit 
Personal and Health Care,Mental health medications
Housing,Dishwashers
Entertainment,Movie
Savings,Sustainability or socially responsible investments
Food,Eating at a Cafe
Savings,Corporate bond purchases
Housing,Garage organization systems
Travel,Travel-sized toiletry kit
Savings,Legal or tax advice fees related to investments
Personal and Health Care,Gym Equipment
Entertainment,Sailing or boating rentals
Entertainment,Nintendo
Travel,VIP access to a fashion show
Travel,Cruise Tickets
Personal and Health Care,Incontinence products or supplies
Food,Food truck meals
Personal and Health Care,Health or wellness magazine subscriptions
Housing,Home Insurance
Personal and Health Care,medicines
Savings,Mutual funds
Housing,Home warranty or extended warranty coverage
Housing,Garbage covers
Housing,Utensils
Savings,Education or training expenses for investment knowledge
Travel,Private wine and cheese pairing event
Savings,Investment research or data subscription fees
Personal and Health Care,Therapy session
Personal and Health Care,BP test
Food,Idli
Housing,Home maintenance and repairs
Personal and Health Care,Sugar test
Entertainment,Online streaming service subscriptions
Savings,Vacation Savings
Travel,Gourmet cooking retreat in a picturesque location
Food,Pancakes
Entertainment,VIP concert or event experiences
Entertainment,Outdoor adventure activities
Food,Fresh herbs or spices
Entertainment,Gaming
Travel,Gourmet food and wine tour in a renowned culinary region
Housing,Broom
Travel,Fine dining restaurant meals
Housing,Home inspection fees
Personal and Health Care,Allergy testing or treatments
Entertainment,Board games or card games
Travel,Luxury train journey through picturesque landscapes
Housing,Plates
Personal and Health Care,Health savings account (HSA) contributions
Travel,Valet parking at the airport
Housing,Gloves
Travel,Gourmet chocolate and wine tasting
Food,Roti
Entertainment,Zoo or aquarium admission fees
Entertainment,Outdoor movie screenings
Entertainment,Casino night fundraisers
Food,Bulk food purchases
Housing,Vaccum cleaner
Personal and Health Care,Trimmer
Entertainment,Shows
Miscellaneous,Pencil
Housing,Sofa
Travel,Cycle
Travel,Bus Fare
Food,Sandwich
Housing,Light bulbs
Personal and Health Care,Baby care products and supplies
Entertainment,Movie theater tickets
Travel,Diving certification course
Entertainment,Online subscriptions
Travel,Car Insurance
Travel,Train charge
Savings,Mutual fund investments
Housing,Washing machine
Travel,Designer luggage set
Entertainment,Food and wine festivals
Travel,Exclusive wine cellar tour and tasting
Food,Apples
Housing,Internet and cable TV subscription
Housing,Plumbing repairs or installations
Savings,Certificate of deposit (CD) purchases
Housing,Home insurance deductible
Personal and Health Care,Hair oil
Personal and Health Care,Blood pressure machine
Housing,Chairs
Food,Salad greens or pre-packaged salads
Personal and Health Care,Pediatric vaccinations or immunizations
Personal and Health Care,Medical alert systems or personal emergency response devices
Personal and Health Care,Dental check-ups and treatments
Housing,Plates
Food,Packaged snacks or trail mixes
Miscellaneous,Notes
Entertainment,PC
Entertainment,Concert or live music event tickets
Housing,Flooring
Entertainment,Art or photography exhibitions
Food,Craft or artisanal cheese purchases
Housing,Bedding and linens
Travel,Valet parking at the airport
Travel,Customized luxury travel package
Entertainment,Trampoline park admission fees
Entertainment,Movie Tickets
Food,Freshly baked pastries or desserts
Travel,Petrol
Travel,Airfare
Housing,Water filtration or purification systems
Food,Snack food purchases
Housing,Monthly rent payment
Housing,Ovens
Personal and Health Care,Spa or relaxation retreats
Entertainment,Pub trivia or game night expenses
Savings,Tax preparation fees for investment-related income
Food,Dinner Party
Travel,VIP entrance to a popular nightclub
Housing,Home Renovation
Food,Restaurant Delivery
Personal and Health Care,Birth control methods and contraceptives
Housing,Home decor item
Travel,Front-row seats to a live concert
Personal and Health Care,Dermatologist Visit
Housing,Pest Control
Personal and Health Care,Ointments and creams
Travel,Private jet charter
Food,Mayonnaise
Housing,Home gym equipment and accessories
Travel,Designer luggage set
Entertainment,Food truck festivals or events
Housing,Mortgage payment
Food,Snacks
Housing,Landscaping materials plants
Housing,Mobile bills
Food,Hyderabadi Biryani
Travel,Custom-made tailored clothing
Food,Energy drinks or sports beverages
Personal and Health Care,Nutritional counseling or dietitian services
Personal and Health Care,Yoga Class
Travel,Taxi charge
Personal and Health Care,Dietary supplements or protein powders
Entertainment,Gambling
Travel,Diesel
Entertainment,Novels
Personal and Health Care,Makeup and cosmetics
Housing,Solar panel installation or renewable energy system costs
Savings,Financial software or investment tracking tools
Food,Craft beer or microbrew purchases
Entertainment,Live comedy or improv shows
Entertainment,Parties
Housing,Renovation or remodeling costs
Food,Falafel
Miscellaneous,Textbooks
Travel,Train booking
Travel,Auto rickshaw
Food,Gourmet chocolate or confections
Entertainment,Mobile phone
Travel,International data roaming charges
Housing,Garbage and recycling collection fees
Food,Protein powder or protein bars
Housing,Lock and key
Miscellaneous,Exam pads
Food,Spices and seasonings
Food,Baking mixes or pre-made dough
Personal and Health Care, Accessories
Travel,Uber Ride
Travel,Artisanal food souvenirs
Travel,Luxury beachfront villa rental
Personal and Health Care,Diabetic supplies
Housing,Property taxes
Savings,Cryptocurrency purchases or trading fees
Personal and Health Care,Medical tests or lab work
Personal and Health Care,Hairspray
Food,Breakfast cereal or granola purchases
Personal and Health Care,Medical or health-related mobile apps
Entertainment,Magic or illusionist shows
Travel,Scenic helicopter transfer between destinations
Entertainment,Social Events
Entertainment,Historical or architectural walking tours
Housing,professional movers
Housing,Appliances
Personal and Health Care,Manicures and pedicures
Housing,Furniture repair
Personal and Health Care,Meditation or mindfulness apps
Miscellaneous,Ruler
Entertainment,Jazz or live music club cover charges
Savings,Money market funds
Savings,Exchange-traded fund (ETF) purchases
Travel,Hotel Accommodation
Entertainment,Gaming tournaments or esports events
Food,Vada pav
Travel,Local subway or metro tickets
Travel,Private yacht charter
Food,Specialty or artisanal ice cream
Travel,Helicopter sightseeing tour
Personal and Health Care,Spa or wellness treatments
Entertainment,Paintball or laser tag fees
Personal and Health Care,Health or wellness retreats
Savings,Savings Transfer
Entertainment,Magazines
Housing,Kitchenware and cooking utensils
Food,Ice Cream
Entertainment,Cooking or baking classes
Housing,Roof repairs or replacement
Housing,Building permits and fees
Food,Salad dressing purchases
Food,Specialty teas or herbal infusions
Personal and Health Care,Doctor's office visit fees
Travel,Private car and driver for sightseeing
Entertainment,Books
Personal and Health Care,Sleep aids device
Personal and Health Care,Over-the-counter medications
Travel,Luxury camping experience in a pristine natural setting
Personal and Health Care,Acupuncture or acupressure treatments
Entertainment,Casino night fundraisers
Food,Capsicums
Housing,Lawn care equipment mower
Savings,Emergency Savings
Savings,Real estate crowdfunding investments
Entertainment,Dance parties or nightclub cover charges
Miscellaneous,Online Shopping
Food,Truffle or gourmet mushroom purchases
Housing,professional movers
Food,Bottled water purchases
Entertainment,Dance or fitness competitions
Housing,Electrical wiring upgrades or installations
Food,Baby food or formula purchases
Entertainment,Poetry slams or spoken word events
Personal and Health Care,Sports massages or sports therapy
Travel,Car repair
Food,Cheese or dairy product purchases
Food,Tacos
Food,Burger
Travel,Car
Personal and Health Care,Face wash
Entertainment,Cricket match tickets
Travel,VIP access to a music festival
Personal and Health Care,Rehabilitative services
Personal and Health Care,Aromatherapy or essential oils
Food,Chicken
Housing,Landscaping materials plants
Food,Nut or trail mix purchases
Housing,Tablesw
Food,Lobster
Personal and Health Care,Salon or barber services
Personal and Health Care,Allergy shots or immunotherapy
Housing,Architectural or design services
Housing,Flooring
Housing,Property survey costs
Savings,Membership fees for investment clubs or groups
Travel,Luggage bag
Housing,Dishwashers
Entertainment,Gaming conventions or expos
Travel,First-class train tickets
