Category,Expense
Entertainment,Music
Food,Eating at a Cafe
Food,Coffee
Travel,Car repair
Entertainment,Gaming
Miscellaneous,Exam pads
Personal and Health Care,Soap
Miscellaneous,Temple cost
Food,peppers
Entertainment,Drama show
Miscellaneous,Mobile charger
Housing,Drilling machine
Travel,Uber Ride
Housing,Microwaves
Housing,Household supplies
Food,Ramen
Miscellaneous,Online Shopping
Travel,Motor bike
Savings,Down Payment Savings
Food,Pizza
Travel,Train Fare
Housing,Detergent
Entertainment,Xbox
Entertainment,Nintendo
Food,Croissant
Housing,Water Bill
Personal and Health Care,Doctor's Visit
Savings,Car fix it
Housing,Mop
Food,badam
Housing,Water Bottle
Entertainment,Birthday party
Food,Oranges
Travel,Camping Gear
Housing,Furniture Purchase
Entertainment,Amazon prime
Travel,Train booking
Savings,Diamond ring
Entertainment,Sport tickets
Personal and Health Care,Physiotherapy
Food,Butter Chicken
Food,Banana
Personal and Health Care,Massage
Travel,Hiking Trip
Housing,Property Maintenance
Travel,Rapido
Entertainment,Novels
Miscellaneous,Notes
Food,Restaurant Delivery
Savings,Purchased bonds
Personal and Health Care,Spa Treatment
Entertainment,PS5
Miscellaneous,Notebooks
Miscellaneous,Art Supplies
Savings,Bank loan repayment
Food,Aloo Paratha
Housing,Hammer
Entertainment,Netflix
Personal and Health Care,Sugar test
Housing,Gunny bag
Miscellaneous,Movie Tickets
Housing,Gloves
Personal and Health Care,Sun screen
Personal and Health Care,Wellness treatment
Housing,Light bulbs
Personal and Health Care,Medicines
Housing,Tablesw
Personal and Health Care,Trimmer
Savings,ETFs
Housing,Flooring
Travel,Diesel
Food,Catering
Housing,Wrenches
Housing,Broom
Miscellaneous,Eraser
Personal and Health Care,Chiropractor Visit
Housing,Cell Phone Bill
Entertainment,Gaming console
Entertainment,Gambling
Housing,Gas bill
Food,Pav Bhaji
Housing,Home Decor
Personal and Health Care,Spa
Housing,Home Insurance
Food,Tomatoes
Travel,Travel accessories
Housing,Furniture repair
Housing,Door knobs
Food,Vada pav
Food,beef
Food,Curd
Housing,Home Repairs
Food,Ice Cream
Entertainment,Books
Housing,Utensils
Entertainment,Concert
Entertainment,Movie Tickets
Food,Pani Puri
Entertainment,Online subscriptions
Housing,Stoves
Food,Bisi bele bath
Housing,Ovens
Housing,Wifi repair
Travel,Car Maintenance
Food,Chole Bhature
Food,Rogan Josh
Personal and Health Care,Glasses/Contact Lenses
Travel,Suite cost
Housing,Sofa
Travel,Public Transportation
Food,Grocery Store
Travel,Bus Fare
Food,Grocery Delivery
Food,Fried Chicken
Food,Malai Kofta
Personal and Health Care,Nursing
Food,Pho
Entertainment,Theme Park
Personal and Health Care,Gym Equipment
Housing,Paint 
Entertainment,Casino
Miscellaneous,Charity Donation
Miscellaneous,Pencil
Housing,Garbage covers
Entertainment,Subscriptions
Miscellaneous,Tech Gadgets
Savings,Doge coin
Entertainment,Speakers
Travel,Car Insurance
Travel,Car Rental
Food,Cooking Appliances
Personal and Health Care,Shaving cream
Food,French fries
Food,Dim Sum
Travel,Bike repair
Savings,Money market funds
Travel,Luggage bag
Housing,Mortgage Payment
Food,Carrots
Housing,Internet Bill
Food,Pasta
Food,biscuits
Miscellaneous,Textbooks
Personal and Health Care,BP test
Food,Churros
Entertainment,Theater
Housing,Vaccum cleaner
Housing,Rent
Food,Tacos
Travel,Gasoline
Food,Alcohol
Housing,Dishwashers
Personal and Health Care,Fitness Class
Miscellaneous,Scissors
Personal and Health Care,Rehabilation fee
Personal and Health Care,Therapist Session
Entertainment,Music CDs
Food,Steak
Entertainment,PC
Housing,Appliances
Housing,Lawn cleaning
Housing,Desks
Housing,Lock and key
Savings,Stock Investment
Housing,Home Renovation
Travel,Train charge
Savings,Necklace
Travel,Taxi Fare
Food,Rajma Chawal
Savings,Vacation
Food,Garlic bread
Personal and Health Care,Dental Check-up
Food,Eating Out
Food,Falafel
Food,Burger
Personal and Health Care,Hair conditioner
Food,Curry
Food,Butter
Entertainment,Shows
Entertainment,Club Membership
Food,Palak Paneer
Housing,Sewer clean
Housing,Dryers
Entertainment,Event Tickets
Food,Eggs
Savings,Savings Transfer
Personal and Health Care,Yoga Class
Personal and Health Care,Prescription Medication
Savings,Emergency Savings
Housing,Screw drivers
Savings,Investment
Food,Snacks
Food,Biryani
Travel,Ola
Food,Bread
Housing,Electricity Bill
Personal and Health Care,Meditation Class
Travel,Rental Car
Personal and Health Care,Grooming kit
Savings,Mutual funds
Entertainment,Magazines
Travel,Cruise Tickets
Personal and Health Care,Face wash
Entertainment,Mobile phone
Food,Rice
Travel,Car
Miscellaneous,Concert Tickets
Entertainment,Movies 
Entertainment,Magazines
Food,Masala Dosa
Housing,Plates
Food,Pongal
Food,Apples
Travel,Taxi charge
Travel,Bike
Miscellaneous,Gifts
Food,Gulab Jamun
Personal and Health Care,Hair oil
Travel,Auto rickshaw
Food,Dinner Party
Food,Fish
Savings,Gold purchase
Entertainment,Carnivals
Housing,Mobile bills
Personal and Health Care,Acupuncture Session
Food,Samosas
Personal and Health Care,Wrist watch
Food,Takeout
Food,Chicken Tikka Masala
Food,Sandwich
Entertainment,Museum
Food,Lobster
Food,Coca cola
Savings,Travel Savings
Food,Chicken
Personal and Health Care,Dermatologist Visit
Food,Cereals
Entertainment,Cricket match tickets
Entertainment,Media players
Housing,Washing machine
Personal and Health Care,Body wash
Housing,Pest Control
Housing,Property Taxes
Food,Milk
Travel,Cycle
Savings,Cryptocurrency
Personal and Health Care,Shampoo
Entertainment,Parties
Food,Tandoori Chicken
Entertainment,Social Events
Personal and Health Care,Clothing
Miscellaneous,Magazine Purchase
Food,Sushi
Food,beans
Travel,Train Tickets
Food,Restaurant Dinner
Food,Hyderabadi Biryani
Food,Upma
Miscellaneous,Xerox
Food,Paella
Entertainment,Movie
Personal and Health Care,Lab tests
Miscellaneous,A4 sheets
Miscellaneous,Ruler
Personal and Health Care,First aid kit
Housing,Renovation Supplies
Miscellaneous,Pet Supplies
Miscellaneous,Magazine Subscription
Entertainment,TV show
Food,Flour
Entertainment,Amusement Park
Travel,Petrol
Savings,Education Savings
Food,Sashimi
Savings,Bitcoin
Entertainment,Movies
Personal and Health Care,Haircut
Food,Fast Food Lunch
Food,Dosa
Food,Yogurt
Housing,Chairs
Personal and Health Care,tanning cream
Personal and Health Care,Dance Class
Housing,Home Security System
Miscellaneous,Gym Membership
Entertainment,Match tickets
Housing,Bedsheet
Housing,Tiles
Personal and Health Care,Gym
Savings,Vacation Savings
Personal and Health Care,Shaving kit
Housing,Wallpaper
Personal and Health Care,Regular check up
Personal and Health Care,Nursing home
Food,Mangoes
Food,Pancakes
Travel,Airbnb Rental
Food,Burgers
Entertainment,Sporting Events
Entertainment,Hobbies
Savings,Emergency Fund
Personal and Health Care,Ointments and creams
Personal and Health Care,Dentist Visit
Food,Poori
Travel,Hotel Accommodation
Housing,Drills
Food,Jalebi
Entertainment,Concert Tickets
Food,Lunch at Work
Miscellaneous,Pen
Food,Paneer Tikka
Food,Beer
Housing,House appliances
Food,Peking Duck
Miscellaneous,Stationaries
Food,Roti
Travel,Flight tickets
Food,Idli
Housing,Dining table
Savings,Retirement Savings
Travel,Airfare
Travel,Kit bag
Housing,Trash Collection
Travel,Theme Park Tickets
